Feature,PosCount,NegCount,TotalCount,DominantCount
GRAVY,10,0,10,10
SS3_H,10,0,10,10
SS8_I,10,0,10,10
feature_558,10,0,10,10
feature_36,9,0,9,9
feature_81,9,0,9,9
feature_289,0,8,8,8
AROM,6,0,6,6
feature_1209,0,4,4,4
feature_111,0,3,3,3
feature_209,0,3,3,3
SS8_H,2,0,2,2
feature_1090,2,0,2,2
feature_150,2,0,2,2
feature_177,0,2,2,2
feature_827,2,0,2,2
feature_1115,0,1,1,1
feature_1154,0,1,1,1
feature_139,1,0,1,1
feature_302,0,1,1,1
feature_394,0,1,1,1
feature_422,1,0,1,1
feature_925,1,0,1,1
feature_949,0,1,1,1
